Paises;Anos;X1;X2;X3;X4
RO - Roménia;2023;19,3;10,6;5,7;1,7
SE - Suécia;2009;9,3;10,9;5,2;1,4
SE - Suécia;2011;7,5;0;0;0
SE - Suécia;2013;7,4;9,1;4;-2,3
SE - Suécia;2015;7;6,3;4;1,8
SE - Suécia;2017;6,4;5,6;4,3;1,8
SE - Suécia;2019;5,9;5,2;4,3;1,6
SE - Suécia;2021;6;4,5;4,2;1,4
SE - Suécia;2023;5,7;4,4;4,1;1,1
IS - Islândia;2009;9,3;4,9;4;5,4
IS - Islândia;2011;7,6;;0,7;
IS - Islândia;2013;6,4;;0,7;
IS - Islândia;2015;5,3;;1;
IS - Islândia;2017;4,1;;0,9;
IS - Islândia;2019;5,7;;0,9;
IS - Islândia;2021;7,2;;0,9;
IS - Islândia;2023;5,7;;0,9;
NO - Noruega;2009;7,4;;0,8;
NO - Noruega;2011;7,8;;0,8;
NO - Noruega;2013;8,3;;0,2;
NO - Noruega;2015;8,3;;0,2;
NO - Noruega;2017;7,7;;0,2;
NO - Noruega;2019;7,5;;0,2;
NO - Noruega;2021;7,4;;0,1;
NO - Noruega;2023;6,4;;0,7;
UK - Reino Unido;2009;0;;0,7;
UK - Reino Unido;2011;0;;0,6;
UK - Reino Unido;2013;0;;0,6;
UK - Reino Unido;2015;0;;0,6;
UK - Reino Unido;2017;0;;0,5;
UK - Reino Unido;2019;0;;0,5;
UK - Reino Unido;2021;0;;0,1;
UK - Reino Unido;2023;0;;0,1;
CH - Suíça;2009;0;;0;
CH - Suíça;2011;7,9;;0;
CH - Suíça;2013;8;;0;
CH - Suíça;2015;7,3;;0;
CH - Suíça;2017;7,2;;0;
CH - Suíça;2019;6,2;;0;
CH - Suíça;2021;0;;0;
CH - Suíça;2023;0;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0,1;
;;;;0,1;
;;;;0,3;
;;;;0,3;
;;;;0,3;
;;;;0,2;
;;;;0,2;
;;;;0,1;
;;;;0,1;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0,1;
;;;;0,1;
;;;;0,1;
;;;;0,1;
;;;;0,6;
;;;;0,8;
;;;;0,8;
;;;;0,8;
;;;;0,4;
;;;;0,3;
;;;;0,3;
;;;;0,4;
;;;;0,4;
;;;;0,4;
;;;;0,4;
;;;;0,5;
;;;;0,5;
;;;;0,4;
;;;;0,1;
;;;;0,1;
;;;;0,1;
;;;;0,1;
;;;;0,1;
;;;;0;
;;;;0;
;;;;0;
;;;;0,2;
;;;;0;
;;;;0,5;
;;;;0,7;
;;;;0,8;
;;;;0,6;
;;;;0,7;
;;;;0,7;
;;;;0,8;
;;;;0,8;
;;;;0,8;
;;;;0,7;
;;;;0,6;
;;;;1,4;
;;;;1,5;
;;;;1,2;
;;;;1,7;
;;;;1,1;
;;;;0,5;
;;;;0,8;
;;;;0,1;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0;
;;;;0,1;
;;;;0,1;
;;;;0,2;
;;;;0,2;
;;;;0,3;
;;;;0,2;
;;;;0,2;
;;;;0,3;
;;;;0,5;
;;;;0,5;
